0   0   0  1  1  -0.63789
 0   0   0  1  2  +0.00011
 0   0   0  1  3  -0.00000
 0   0   0  1  4  -0.00000
 0   0   0  2  1  +0.00011
 0   0   0  2  2  -0.53462
 0   0   0  2  3  +0.00000
 0   0   0  2  4  -0.00000
 0   0   0  3  1  -0.00000
 0   0   0  3  2  +0.00000
 0   0   0  3  3  -0.53444
 0   0   0  3  4  -0.00000
 0   0   0  4  1  -0.00000
 0   0   0  4  2  -0.00000
 0   0   0  4  3  -0.00000
 0   0   0  4  4  -0.24638
-3   1   0  1  1  -0.00003
-3   1   0  1  2  -0.00006
-3   1   0  1  3  -0.00007
-3   1   0  1  4  +0.00000
-3   1   0  2  1  +0.00006
-3   1   0  2  2  +0.00012
-3   1   0  2  3  +0.00016
-3   1   0  2  4  -0.00000
-3   1   0  3  1  +0.00007
-3   1   0  3  2  +0.00015
-3   1   0  3  3  +0.00017
-3   1   0  3  4  -0.00000
-3   1   0  4  1  +0.00000
-3   1   0  4  2  +0.00000
-3   1   0  4  3  +0.00000
-3   1   0  4  4  -0.00001
-3   2   0  1  1  -0.00003
-3   2   0  1  2  -0.00003
-3   2   0  1  3  -0.00009
-3   2   0  1  4  +0.00000
-3   2   0  2  1  +0.00003
-3   2   0  2  2  +0.00002
-3   2   0  2  3  +0.00009
-3   2   0  2  4  -0.00000
-3   2   0  3  1  +0.00009
-3   2   0  3  2  +0.00010
-3   2   0  3  3  +0.00027
-3   2   0  3  4  -0.00000
-3   2   0  4  1  +0.00000
-3   2   0  4  2  +0.00000
-3   2   0  4  3  +0.00000
-3   2   0  4  4  -0.00001
-2  -1   0  1  1  -0.00003
-2  -1   0  1  2  -0.00009
-2  -1   0  1  3  -0.00002
-2  -1   0  1  4  -0.00000
-2  -1   0  2  1  +0.00009
-2  -1   0  2  2  +0.00029
-2  -1   0  2  3  +0.00006
-2  -1   0  2  4  +0.00000
-2  -1   0  3  1  +0.00002
-2  -1   0  3  2  +0.00005
-2  -1   0  3  3  +0.00000
-2  -1   0  3  4  +0.00000
-2  -1   0  4  1  -0.00000
-2  -1   0  4  2  -0.00000
-2  -1   0  4  3  -0.00000
-2  -1   0  4  4  -0.00001
-2   0   0  1  1  -0.00266
-2   0   0  1  2  -0.00575
-2   0   0  1  3  -0.00344
-2   0   0  1  4  -0.00000
-2   0   0  2  1  +0.00585
-2   0   0  2  2  +0.01157
-2   0   0  2  3  +0.00791
-2   0   0  2  4  +0.00000
-2   0   0  3  1  +0.00326
-2   0   0  3  2  +0.00735
-2   0   0  3  3  +0.00276
-2   0   0  3  4  +0.00000
-2   0   0  4  1  -0.00000
-2   0   0  4  2  -0.00000
-2   0   0  4  3  -0.00000
-2   0   0  4  4  -0.00123
-2   1   0  1  1  -0.01080
-2   1   0  1  2  -0.01230
-2   1   0  1  3  -0.02130
-2   1   0  1  4  -0.00000
-2   1   0  2  1  +0.01157
-2   1   0  2  2  +0.00733
-2   1   0  2  3  +0.02344
-2   1   0  2  4  +0.00000
-2   1   0  3  1  +0.02004
-2   1   0  3  2  +0.02344
-2   1   0  3  3  +0.03439
-2   1   0  3  4  +0.00000
-2   1   0  4  1  -0.00000
-2   1   0  4  2  -0.00000
-2   1   0  4  3  -0.00000
-2   1   0  4  4  -0.00442
-2   2   0  1  1  -0.00266
-2   2   0  1  2  -0.00010
-2   2   0  1  3  -0.00670
-2   2   0  1  4  -0.00000
-2   2   0  2  1  -0.00010
-2   2   0  2  2  -0.00164
-2   2   0  2  3  -0.00028
-2   2   0  2  4  +0.00000
-2   2   0  3  1  +0.00670
-2   2   0  3  2  +0.00028
